corpus,date,entity_id,sector,mentions,day_total,sov,sov_sector,open,close,ret_same,ret_d1,ret_fwd5,ret_fwd10,vol_fwd5,vol_pre10,base,abn,sov_base,abn_sov,spike,silent,ret_same_sx,ret_fwd5_sx,ret_fwd10_sx,absret_same,absret_fwd5,absret_same_sx,ent,dt
digest,2026-08-15,kpit,it,0,5,0.0,0.0,617.0,609.0,-0.012965964343598091,-0.02027910605244254,-0.04252877572095648,-0.039408866995073843,0.1566351866913267,0.20886471912669244,0.3,-0.3,0.01057004830917874,-0.01057004830917874,0.0,1.0,-0.005412953383762558,-0.032810602512032036,-0.04580156627044434,0.012965964343598091,0.04252877572095648,0.005412953383762558,kpit,2026-08-15
digest,2026-08-16,kpit,it,1,3,0.3333333333333333,1.0,617.0,609.0,-0.012965964343598091,-0.02027910605244254,-0.04252877572095648,-0.039408866995073843,0.1566351866913267,0.20886471912669244,0.2,0.8,0.00622222222222222,0.3271111111111111,0.0,0.0,-0.005412953383762558,-0.032810602512032036,-0.04580156627044434,0.012965964343598091,0.04252877572095648,0.005412953383762558,kpit,2026-08-16
digest,2026-08-17,kpit,it,1,31,0.032258064516129,0.0526315789473684,617.0,609.0,-0.012965964343598091,-0.02027910605244254,-0.04252877572095648,-0.039408866995073843,0.1566351866913267,0.20886471912669244,0.3,0.7,0.03955555555555555,-0.0072974910394265555,0.0,0.0,-0.005412953383762558,-0.032810602512032036,-0.04580156627044434,0.012965964343598091,0.04252877572095648,0.005412953383762558,kpit,2026-08-17
digest,2026-08-18,kpit,it,2,59,0.0338983050847457,0.1428571428571428,609.0,596.6500244140625,-0.02027910605244254,-0.012654066067523395,-0.007793554384966317,-0.011145603187719844,0.18965110525803944,0.21648789977257205,0.4,1.6,0.04278136200716845,-0.00888305692242275,0.0,0.0,-0.004755433961117746,-0.02173725824815028,-0.04581853838678312,0.02027910605244254,0.007793554384966317,0.004755433961117746,kpit,2026-08-18
digest,2026-07-07,lloyds_metals,mining,0,52,0.0,0.0,1755.5999755859375,1755.5999755859375,0.0,-0.01697421233323193,0.039815462170266436,0.10298476380861321,0.2867622762065997,0.3475605997118654,0.6,-0.6,0.02535714285714284,-0.02535714285714284,0.0,1.0,0.0029317528431366535,0.02892055109260705,0.07865668062737619,0.0,0.039815462170266436,0.0029317528431366535,lloyds_metals,2026-07-07
digest,2026-07-08,lloyds_metals,mining,0,82,0.0,0.0,1745.0,1725.800048828125,-0.011002837347779404,0.0111831766205579,0.08129558627204858,0.08454044397716931,0.19102846184914912,0.30442080871278515,0.5,-0.5,0.021130952380952365,-0.021130952380952365,0.0,1.0,-0.008180933891430736,0.05641144029610093,0.06395208293250715,0.011002837347779404,0.08129558627204858,0.008180933891430736,lloyds_metals,2026-07-08
digest,2026-07-09,lloyds_metals,mining,0,23,0.0,0.0,1736.9000244140625,1745.0999755859375,0.004721026574135312,0.03123030242533864,0.05638646827728233,0.10629763486055643,0.27825322163442956,0.30538521847402805,0.42857142857142855,-0.42857142857142855,0.018112244897959172,-0.018112244897959172,0.0,1.0,0.004303400064653351,0.04585885743765328,0.08390235197600565,0.004721026574135312,0.05638646827728233,0.004303400064653351,lloyds_metals,2026-07-09
digest,2026-07-10,lloyds_metals,mining,0,22,0.0,0.0,1755.0,1799.5999755859375,0.025413091501958585,0.015281173801442227,0.03656370844676249,0.07829519133450002,0.21758925475461102,0.33935177907512504,0.375,-0.375,0.015848214285714275,-0.015848214285714275,0.0,1.0,0.01794570413919372,0.03965526653680476,0.071602594223528,0.025413091501958585,0.03656370844676249,0.01794570413919372,lloyds_metals,2026-07-10
digest,2026-07-12,lloyds_metals,mining,0,2,0.0,0.0,1799.0,1827.0999755859375,0.015619775200632402,-0.0008756913181088288,0.04422311307962934,0.10278586357481556,0.24029604326275975,0.24525797645378672,0.3333333333333333,-0.3333333333333333,0.014087301587301577,-0.014087301587301577,0.0,1.0,0.007119735028781438,0.042447028778387186,0.08827813286411065,0.015619775200632402,0.04422311307962934,0.007119735028781438,lloyds_metals,2026-07-12
digest,2026-07-13,lloyds_metals,mining,1,33,0.0303030303030303,0.1666666666666666,1799.0,1827.0999755859375,0.015619775200632402,-0.0008756913181088288,0.04422311307962934,0.10278586357481556,0.24029604326275975,0.24525797645378672,0.3,0.7,0.01267857142857142,0.017624458874458883,0.0,0.0,0.007119735028781438,0.042447028778387186,0.08827813286411065,0.015619775200632402,0.04422311307962934,0.007119735028781438,lloyds_metals,2026-07-13
